Player,Role,Amount,Team,Year,Player Origin,Mega?
Aaron Finch,Batsman,4,Sunrisers Hyderabad,2014,Overseas,1
Aaron Finch,Batsman,3.2,Mumbai Indians,2015,Overseas,0
Aaron Finch,Batsman,1,Gujarat Lions,2016,Overseas,0
Aaron Finch,Batsman,6.2,Kings XI Punjab,2018,Overseas,1
Aaron Finch,Batsman,4.4,Royal Challengers Bangalore,2020,Overseas,0
Abdul Samad,All-Rounder,0.2,Sunrisers Hyderabad,2020,Indian,0
Abhijeet Tomar,Batsman,0.4,Kolkata Knight Riders,2022,Indian,1
Abhimanyu Mithun,Bowler,0.3,Mumbai Indians,2015,Indian,0
Abhimanyu Mithun,Bowler,0.3,Sunrisers Hyderabad,2016,Indian,0
Abhinav Sadarangani,Batsman,2.6,Gujarat Titans,2022,Indian,1
Abhishek Nayar,All-Rounder,5.0625,Pune Warriors India,2013,Indian,0
Abhishek Nayar,All-Rounder,1,Rajasthan Royals,2014,Indian,1
Abhishek Sharma,All-Rounder,0.55,Delhi Daredevils,2018,Indian,1
Abhishek Sharma,All-Rounder,6.5,Sunrisers Hyderabad,2022,Indian,1
Abu Nechim Ahmed,Bowler,0.3,Royal Challengers Bangalore,2014,Indian,1
Adam Milne,Bowler,0.7,Royal Challengers Bangalore,2015,Overseas,0
Adam Milne,Bowler,3.2,Mumbai Indians,2021,Overseas,0
Adam Milne,Bowler,1.9,Chennai Super Kings,2022,Overseas,1
Adam Zampa,Bowler,0.3,Rising Pune Supergiant,2016,Overseas,0
Aditya Garhwal,All-Rounder,0.25,Kolkata Knight Riders,2015,Indian,0
Aditya Tare,Wicket Keeper,1.6,Mumbai Indians,2014,Indian,1
Aditya Tare,Wicket Keeper,1.2,Sunrisers Hyderabad,2016,Indian,0
Aditya Tare,Wicket Keeper,0.25,Delhi Daredevils,2017,Indian,0
Aditya Tare,Wicket Keeper,0.2,Mumbai Indians,2018,Indian,1
Agnivesh Ayachi,All-Rounder,0.2,Kings XI Punjab,2019,Indian,0
Aiden Blizzard,Batsman,0.3,Mumbai Indians,2015,Overseas,0
Aiden Markram,Batsman,2.6,Sunrisers Hyderabad,2022,Overseas,1
Ajantha Mendis,Bowler,5.4375,Pune Warriors India,2013,Overseas,0
Ajinkya Rahane,Batsman,4,Rajasthan Royals,2018,Indian,1
Ajinkya Rahane,Batsman,1,Kolkata Knight Riders,2022,Indian,1
Akash Deep,Bowler,0.2,Royal Challengers Bangalore,2022,Indian,1
Akash Singh,Bowler,0.2,Rajasthan Royals,2020,Indian,0
Akash Singh,Bowler,0.2,Rajasthan Royals,2021,Indian,0
Akhil Arvind Herwadkar,All-Rounder,0.1,Delhi Daredevils,2016,Indian,0
Akila Dananjaya,All-Rounder,0.15,Chennai Super Kings,2013,Overseas,0
Akila Dhananjaya,Bowler,0.5,Mumbai Indians,2018,Overseas,1
Akshar Rajesh Patel,All-Rounder,0.75,Kings XI Punjab,2014,Indian,1
Akshay Karnewar,All-Rounder,0.1,Royal Challengers Bangalore,2016,Indian,0
Akshay Wakhare,Bowler,0.1,Mumbai Indians,2015,Indian,0
Akshdeep Nath,All-Rounder,0.1,Gujarat Lions,2016,Indian,0
Akshdeep Nath,All-Rounder,0.1,Gujarat Lions,2017,Indian,0
Akshdeep Nath,All-Rounder,1,Kings XI Punjab,2018,Indian,1
Akshdeep Nath,All-Rounder,3.6,Royal Challengers Bangalore,2019,Indian,0
Albie Morkel,All-Rounder,2.4,Royal Challengers Bangalore,2014,Overseas,1
Albie Morkel,All-Rounder,0.3,Delhi Daredevils,2015,Overseas,0
Alex Carey,Wicket Keeper,2.4,Delhi Capitals,2020,Overseas,0
Alex Hales,Batsman,1.5,Kolkata Knight Riders,2022,Overseas,1
Alzarri Joseph,Bowler,2.4,Gujarat Titans,2022,Overseas,1
Aman Khan,All-Rounder,0.2,Kolkata Knight Riders,2022,Indian,1
Ambati Rayudu,Wicket Keeper,2.2,Chennai Super Kings,2018,Indian,1
Ambati Rayudu,Wicket Keeper,6.75,Chennai Super Kings,2022,Indian,1
Amit Mishra,Bowler,0.1,Rajasthan Royals,2014,Indian,1
Amit Mishra,Bowler,4.75,Sunrisers Hyderabad,2014,Indian,1
Amit Mishra,Bowler,3.5,Delhi Daredevils,2015,Indian,0
Amit Mishra,Bowler,0.1,Gujarat Lions,2016,Indian,0
Amit Mishra,Bowler,4,Delhi Daredevils,2018,Indian,1
Amit Paunikar,Wicket Keeper,0.2,Sunrisers Hyderabad,2014,Indian,1
Andre Russell,All-Rounder,0.6,Kolkata Knight Riders,2014,Overseas,1
Andrew Tye,Bowler,0.2,Chennai Super Kings,2015,Overseas,0
Andrew Tye,All-Rounder,0.5,Gujarat Lions,2016,Overseas,0
Andrew Tye,Bowler,7.2,Kings XI Punjab,2018,Overseas,1
Andrew Tye,Bowler,1,Rajasthan Royals,2020,Overseas,0
Aneeshwar Gautam,All-Rounder,0.2,Royal Challengers Bangalore,2022,Indian,1
Angelo Mathews,All-Rounder,7.5,Delhi Daredevils,2015,Overseas,0
Angelo Mathews,All-Rounder,2,Delhi Daredevils,2017,Overseas,0
Aniket Choudhary,Bowler,2,Royal Challengers Bangalore,2017,Indian,0
Aniket Choudhary,Bowler,0.3,Royal Challengers Bangalore,2018,Indian,1
Anirudha Ashok Joshi,All-Rounder,0.2,Royal Challengers Bangalore,2018,Indian,1
Anirudha Ashok Joshi,All-Rounder,0.2,Rajasthan Royals,2020,Indian,0
Ankeet Bawane,Batsman,0.1,Delhi Daredevils,2017,Indian,0
Ankit Nagendra Sharma,Bowler,0.1,Rajasthan Royals,2014,Indian,1
Ankit Sharma,All-Rounder,0.1,Rising Pune Supergiant,2016,Indian,0
Ankit Sharma,All-Rounder,0.2,Rajasthan Royals,2018,Indian,1
